INFO - 2023-08-10 16:37:32,701 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:38:24,351 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:38:45,845 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:39:28,035 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:40:23,012 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:47:56,924 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:53:27,892 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:54:05,811 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:55:57,629 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:56:24,150 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
INFO - 2023-08-10 16:57:20,737 - Params: {'project_id': 'apero-data-warehouse', 'bucket_id': 'apero-marketing-raw', 'object_id': 'metadata/revenue/admob/hours/2023/08/2023-08-10/16/1691659319765_c72eceec-ecee-4939-9a0a-aad9f34e29ed.json', 'file_type': 'metadata', 'flow': 'revenue', 'channel': 'admob', 'level': 'hours', 'year': '2023', 'month': '08', 'export_date': '2023-08-10', 'hours': '16', 'timestamp': '1691659319765', 'adsAccountId': 'c72eceec-ecee-4939-9a0a-aad9f34e29ed.json'}
